AD_HP_ID,CODE_FIR,VAL_LONG_RWY,UOM_LONG_RWY,CODE_ID,TXT_NAME,CODE_IATA,CODE_TYPE_MIL_OPS,GEO_LAT_ACCURACY,GEO_LONG_ACCURACY,VAL_ELEV,UOM_DIST_VER,VAL_MAG_VAR,VAL_MAG_YEAR,VAL_MAG_CHANGE_RATE,VAL_TRANSITION_ALT,UOM_TRANSITION_ALT,VAL_TRANSITION_LEVEL,UOM_TRANSITION_LEVEL,BUREAU_NAME,FLIGHT_RULE,PRIVATE_USE,IS_MODIFIED,IS_INTERNATIONAL,IS_TRANSITION_HEIGHT,TXT_RMK,
43d18b9e-16d0-4e73-9fc0-739636da1290,ZLHW,3000,M,ZLJQ,嘉峪关/酒泉,JGN,CIV,N395125,E0982030,1560,M,-1.2,2023,-6′00″,4200,M,4800,M,西北管理局,IFR-VFR,S，NS，G,N,N,N,可用最大机型：B757-200及同类机型跑道中心坐标：N395134E0982018,
83ddd9da-d300-4dad-80f8-9624c8d9eb25,ZLHW,4000,M,ZLLL,兰州/中川,LHW,CIV,N363048,E1033715,1949,M,-3,2023,06′00″,4800,M,5400,M,西北管理局,IFR-VFR,S，NS，G,N,Y,N,,
76a16031-f3ef-45d5-ac04-ec18e7d1ced2,ZLHW,2800,M,ZLLN,陇南/成县,LNL,CIV,N334724,E1054720,1131,M,-2.7,2017,-1′54″,0,,0,,西北管理局,IFR-VFR,,N,N,,无,
1ffadd33-05c5-4657-b2b4-5b32da076778,ZLHW,2800,M,ZLQY,庆阳/西峰,IQN,CIV,N354811,E1073556,1413,M,-3.4,2023,,3000,M,3600,M,西北管理局,IFR-VFR,S，NS，G,N,N,N,,
2c70abc8-3218-46aa-bc6d-cb6beb185aa1,ZLHW,2800,M,ZLTS,天水/麦积山,THQ,MILEXT,N343337,E1055137,1095,M,-2,,,3000,M,3600,M,西北管理局,IFR-VFR,,N,N,N,无,
9a983ce5-d54f-4b71-9e44-18ab965b9983,ZLHW,3200,M,ZLXH,甘南/夏河,GXH,CIV,N344909,E1023719,3190,M,-1.4,,,0,,0,,西北管理局,IFR,,N,N,,无,
1c34ef0e-6c87-4612-9905-f57b3057da8c,ZLHW,3800,M,ZLXN,西宁/曹家堡,XNN,CIV,N363149,E1020222,2184,M,-2,2011,,4800,M,5400,M,西北管理局,IFR-VFR,S，NS，G,N,Y,N,无,
6fad1e4b-2a42-4791-9289-1e0996e3bf1f,ZLHW,3800,M,ZLXY,西安/咸阳,XIY,CIV,N342712,E1084504,483,M,-3.4,,,3000,M,3600,M,西北管理局,IFR-VFR,S，NS，G,N,Y,N,无,
418424e9-2e0f-4a8d-96aa-2f1716adf258,ZLHW,3000,M,ZLYA,延安/南泥湾,ENY,MILEXT,N362847,E1092751,1209,M,-3.7,2018,,3000,M,3600,M,西北管理局,IFR-VFR,S，NS，G,N,N,N,,
fa5989e5-3b60-497b-803f-b75b4ca64e6b,ZLHW,3200,M,ZLYL,榆林/榆阳,UYN,CIV,N382131,E1093530,1186,M,-3.5,,,3000,M,3600,M,西北管理局,IFR-VFR,S，NS，G,N,N,N,,
690462ed-c4b4-4ca3-8189-f447c6fadedc,ZLHW,3800,M,ZLYS,玉树/巴塘,YUS,CIV,N325011,E0970211,3905,M,-0.5,,,8100,M,8900,M,西北管理局,IFR-VFR,S，NS,N,N,N,,
4cdc5182-76ad-4b02-94c8-2710311633cb,ZLHW,2800,M,ZLZW,中卫/沙坡头,ZHY,CIV,N373424,E1050917,1246,M,-2.3,,,3300,M,3900,M,西北管理局,IFR-VFR,S，NS,Y,N,N,,
